IsolationLevel,TypeAUsers,TypeBUsers,AvgDurationA,DeadlocksA,AvgDurationB,DeadlocksB,LockTimeoutsA,LockTimeoutsB
READ UNCOMMITTED,1,1,0.155753,0,0.220819,0,0,0
READ UNCOMMITTED,3,3,0.096888,0,0.211231,0,0,0
READ UNCOMMITTED,5,5,0.096855,0,0.303993,0,0,0
READ COMMITTED,1,1,0.034597,0,25.113569,0,0,5
READ COMMITTED,3,3,0.069813,0,25.166505,0,0,15
READ COMMITTED,5,5,0.067494,0,25.175549,0,0,25
REPEATABLE READ,1,1,0.106023,0,0.448840,0,0,0
REPEATABLE READ,3,3,3.432448,0,0.796859,0,2,0
REPEATABLE READ,5,5,5.193814,0,1.392136,0,5,0
SERIALIZABLE,1,1,0.033986,0,0.453143,0,0,0
SERIALIZABLE,3,3,16.758396,0,0.802861,0,10,0
SERIALIZABLE,5,5,18.739138,0,24.716387,4,17,21
