IsolationLevel,TypeAUsers,TypeBUsers,AvgDurationA,DeadlocksA,AvgDurationB,DeadlocksB,LockTimeoutsA,LockTimeoutsB
READ UNCOMMITTED,1,1,0.595094,0,0.305277,0,0,0
READ UNCOMMITTED,3,3,0.040404,0,0.204350,0,0,0
READ UNCOMMITTED,5,5,0.086208,0,0.282827,0,0,0
READ COMMITTED,1,1,0.020176,0,25.096855,0,0,5
READ COMMITTED,3,3,0.074660,0,20.169327,0,0,12
READ COMMITTED,5,5,0.085034,0,25.157602,0,0,25
REPEATABLE READ,1,1,5.075963,0,0.357664,0,1,0
REPEATABLE READ,3,3,1.758413,0,0.787912,0,1,0
REPEATABLE READ,5,5,3.240128,0,1.220055,0,3,0
SERIALIZABLE,1,1,5.019187,0,25.622862,0,1,5
SERIALIZABLE,3,3,15.224045,0,25.674676,0,9,15
SERIALIZABLE,5,5,19.211956,0,25.720373,0,19,25
